hr_lowest,hr_average,rmssd,score_deep,temperature_deviation,temperature_trend_deviation,temperature_delta,duration,rem,efficiency,score_alignment,score_rem,light,onset_latency,restless,breath_average,score_disturbances,score,score_efficiency,score_latency,score_total
84.0,90.75,10.0,76,-0.03,0.1,-0.03,24480.0,5310.0,85.0,95,80,11850.0,450.0,28.0,12.125,65,73,86,81,60
74.0,81.16,16.0,88,-0.22,0.0,-0.22,30780.0,5910.0,91.0,100,89,17850.0,870.0,38.0,12.125,66,88,96,99,89
71.0,80.68,17.0,96,-0.27,-0.11,-0.27,26700.0,5670.0,89.0,100,86,12540.0,150.0,29.0,12.0,75,80,93,67,71
79.0,86.33,15.0,97,0.06,-0.03,0.06,27540.0,5730.0,92.0,100,87,13770.0,300.0,28.0,12.0,70,84,98,72,79
72.0,79.35,18.0,84,-0.06,0.03,-0.06,26520.0,6210.0,92.0,52,94,14070.0,510.0,31.0,12.125,82,79,97,83,74
76.0,83.47,13.0,95,-0.11,0.03,-0.11,30240.0,7830.0,95.0,43,98,16290.0,180.0,32.0,11.875,78,84,100,67,93
75.0,86.98,17.0,50,-0.02,0.02,-0.02,28980.0,4920.0,78.0,100,74,15180.0,720.0,40.0,12.25,61,71,67,91,67
73.0,79.19,22.0,96,0.32,0.18,0.32,29460.0,3630.0,86.0,100,54,16530.0,1320.0,29.0,11.75,74,80,86,81,78
75.0,84.01,18.0,83,-0.22,0.11,-0.22,24900.0,5250.0,90.0,100,79,13170.0,180.0,42.0,12.5,66,75,95,67,66
78.0,86.3,13.0,66,0.03,0.06,0.03,28620.0,5850.0,92.0,100,89,17130.0,210.0,32.0,12.125,75,82,97,70,82
74.0,86.06,16.0,76,-0.06,0.01,-0.06,27780.0,4560.0,86.0,100,68,15570.0,840.0,35.0,12.25,64,78,86,97,72
58.0,65.68,37.0,99,0.08,0.09,0.08,35760.0,3570.0,80.0,94,54,17160.0,840.0,47.0,14.5,51,81,72,97,92
59.0,64.53,45.0,97,0.21,0.22,0.21,37320.0,5580.0,81.0,97,84,18540.0,600.0,47.0,14.375,52,85,74,86,96
58.0,64.44,46.0,98,-0.08,0.17,-0.08,26280.0,2040.0,79.0,100,30,11220.0,390.0,34.0,14.875,55,66,69,78,59
57.0,65.44,41.0,99,0.02,0.1,0.02,37560.0,4290.0,78.0,78,65,16920.0,1050.0,46.0,14.5,53,81,67,91,95
61.0,66.48,36.0,98,0.03,0.08,0.03,40920.0,5610.0,79.0,85,85,19830.0,270.0,48.0,14.5,49,83,69,72,100
59.0,64.92,49.0,97,-0.1,0.05,-0.1,26760.0,2220.0,83.0,100,32,13530.0,660.0,49.0,14.5,49,70,79,89,65
58.0,65.62,48.0,99,0.11,0.09,0.11,27000.0,3240.0,84.0,100,48,11580.0,210.0,40.0,14.875,54,71,81,70,67
58.0,62.98,48.0,97,-0.22,0.03,-0.22,31920.0,3690.0,86.0,85,55,17520.0,240.0,47.0,15.0,51,77,86,70,87
56.0,65.44,42.0,96,-0.12,0.0,-0.12,32460.0,3780.0,80.0,97,56,16170.0,150.0,45.0,14.75,52,75,72,67,80
57.0,64.15,43.0,99,0.1,0.07,0.1,34200.0,5190.0,85.0,100,78,15510.0,330.0,39.0,14.75,54,85,83,75,94
59.0,64.02,43.0,99,-0.14,0.08,-0.14,33840.0,4530.0,82.0,90,68,15450.0,210.0,40.0,14.625,59,80,76,70,88
58.0,63.31,43.0,100,-0.13,0.02,-0.13,35580.0,3870.0,85.0,100,58,17460.0,120.0,46.0,14.375,49,81,83,64,96
55.0,61.6,48.0,96,0.04,0.05,0.04,24300.0,1860.0,79.0,100,27,11580.0,240.0,46.0,14.5,51,63,72,70,53
56.0,63.36,49.0,96,-0.24,0.0,-0.24,22080.0,1590.0,85.0,100,23,11580.0,540.0,41.0,14.875,55,65,83,83,51
57.0,66.14,40.0,100,0.04,0.03,0.04,29700.0,3690.0,85.0,100,55,12480.0,180.0,35.0,14.5,63,77,83,67,77
59.0,64.55,42.0,97,-0.05,0.05,-0.05,35880.0,5460.0,87.0,100,82,19170.0,360.0,42.0,14.0,53,87,88,75,98
58.0,65.3,40.0,99,-0.07,0.06,-0.07,23640.0,1950.0,79.0,100,29,8340.0,660.0,35.0,14.125,65,66,69,89,50
59.0,68.08,35.0,99,-0.14,0.01,-0.14,32100.0,2940.0,80.0,100,43,14580.0,540.0,38.0,14.25,55,76,74,83,80
63.0,71.09,30.0,96,-0.07,0.0,-0.07,24960.0,3690.0,79.0,75,55,10290.0,150.0,33.0,15.375,67,65,69,67,55
59.0,66.34,45.0,100,-0.23,-0.05,-0.23,27420.0,3990.0,85.0,100,60,10080.0,600.0,30.0,14.75,66,77,83,86,70
61.0,69.63,31.0,99,-0.07,-0.04,-0.07,27000.0,4290.0,84.0,100,65,10620.0,900.0,41.0,14.75,57,76,81,99,67
60.0,66.25,44.0,100,-0.03,0.0,-0.03,33660.0,4350.0,83.0,100,66,14430.0,480.0,42.0,14.125,54,82,79,81,89
56.0,64.1,49.0,99,-0.17,0.0,-0.17,26220.0,2820.0,84.0,100,42,11250.0,210.0,39.0,14.125,55,70,81,70,65
62.0,69.73,32.0,99,0.0,0.01,0.0,29160.0,3300.0,86.0,100,49,13800.0,510.0,41.0,14.375,57,77,86,83,76
61.0,69.38,36.0,100,-0.13,0.0,-0.13,30840.0,3750.0,81.0,100,56,12600.0,480.0,42.0,14.75,54,76,74,81,77
63.0,71.02,31.0,100,-0.01,0.02,-0.01,38760.0,3270.0,80.0,79,49,17220.0,570.0,34.0,14.375,60,82,72,86,98
58.0,63.34,40.0,100,-0.28,-0.12,-0.28,30900.0,2520.0,85.0,100,36,14820.0,450.0,25.0,15.125,79,83,79,81,89
59.0,66.3,31.0,95,-0.08,-0.15,-0.08,31740.0,4110.0,81.0,100,60,16170.0,600.0,29.0,15.625,80,81,74,86,77
58.0,68.02,32.0,97,-0.09,-0.12,-0.09,31980.0,3660.0,87.0,91,53,17550.0,390.0,31.0,15.75,67,80,88,78,86
59.0,65.46,36.0,99,-0.17,-0.1,-0.17,35760.0,2700.0,75.0,100,38,15900.0,720.0,25.0,15.25,81,80,60,91,82
59.0,65.24,41.0,96,-0.19,-0.13,-0.19,32820.0,5730.0,86.0,100,84,16560.0,210.0,33.0,15.75,64,83,86,70,87
61.0,67.07,27.0,96,-0.11,-0.12,-0.11,34140.0,5670.0,85.0,100,83,17820.0,1170.0,27.0,15.75,72,88,83,86,91
59.0,67.75,36.0,97,0.06,-0.02,0.06,33900.0,4350.0,82.0,100,64,16830.0,600.0,29.0,15.875,80,86,72,86,90
62.0,66.81,30.0,95,-0.05,0.01,-0.05,34020.0,6900.0,84.0,100,96,16350.0,660.0,31.0,15.75,67,87,81,89,89
62.0,67.81,31.0,93,-0.21,-0.04,-0.21,31200.0,4410.0,82.0,100,64,16410.0,810.0,31.0,15.875,70,80,76,97,78
62.0,66.42,30.0,63,-0.15,-0.09,-0.15,31920.0,4890.0,84.0,100,72,18630.0,810.0,26.0,15.375,78,81,81,97,82
59.0,64.46,36.0,96,-0.2,-0.11,-0.2,30960.0,3450.0,80.0,100,50,15780.0,750.0,30.0,15.125,69,77,72,94,74
60.0,65.78,33.0,95,0.04,-0.02,0.04,31020.0,6450.0,83.0,91,95,14010.0,990.0,31.0,15.875,67,82,79,94,77
59.0,64.57,31.0,95,-0.14,-0.01,-0.14,34380.0,5100.0,85.0,100,74,18810.0,720.0,29.0,15.375,74,88,83,91,92
59.0,64.53,32.0,96,-0.04,0.0,-0.04,34920.0,6450.0,88.0,100,95,18720.0,1560.0,28.0,15.25,81,91,90,70,96
64.0,69.16,28.0,97,-0.04,0.0,-0.04,37320.0,5820.0,78.0,99,85,17220.0,1020.0,36.0,16.125,66,89,62,94,100
64.0,67.68,31.0,88,-0.09,0.0,-0.09,29400.0,4800.0,87.0,100,70,16080.0,570.0,32.0,15.625,74,81,88,86,77
61.0,66.34,30.0,96,-0.11,-0.03,-0.11,34920.0,5670.0,90.0,100,83,20310.0,510.0,30.0,15.125,72,91,95,83,98
59.0,64.34,31.0,94,-0.26,-0.11,-0.26,34020.0,5970.0,92.0,100,88,20460.0,660.0,39.0,15.125,71,92,97,89,98
60.0,65.44,29.0,80,-0.12,-0.13,-0.12,32640.0,4620.0,79.0,100,67,16860.0,1410.0,30.0,15.25,77,78,69,75,78
60.0,65.64,29.0,97,-0.08,-0.09,-0.08,36240.0,6180.0,89.0,100,91,19620.0,300.0,27.0,15.625,73,91,93,72,100
62.0,66.7,28.0,77,0.07,0.0,0.07,35160.0,4950.0,80.0,100,73,19110.0,1080.0,36.0,15.75,60,81,72,91,87
58.0,63.08,32.0,96,-0.07,0.01,-0.07,32100.0,3930.0,84.0,100,57,17070.0,1290.0,30.0,15.375,71,81,81,81,82
59.0,64.62,37.0,97,-0.1,-0.01,-0.1,32400.0,5550.0,92.0,100,82,17880.0,1020.0,27.0,15.375,82,93,97,94,95
60.0,66.79,35.0,97,-0.09,-0.05,-0.09,31860.0,2910.0,85.0,100,42,17790.0,750.0,30.0,15.5,71,81,83,94,83
60.0,64.17,35.0,96,-0.24,-0.1,-0.24,34380.0,7230.0,87.0,100,97,17040.0,690.0,28.0,15.625,72,91,88,91,95
59.0,65.46,31.0,97,-0.04,-0.06,-0.04,30480.0,4620.0,88.0,100,67,15840.0,90.0,34.0,15.5,64,80,90,64,82
56.0,61.89,25.0,83,0.19,0.15,0.19,33180.0,4620.0,88.0,71,65,19740.0,150.0,46.0,17.125,59,77,90,67,89
56.0,61.89,25.0,83,0.19,0.15,0.19,33180.0,4620.0,88.0,71,65,19740.0,150.0,46.0,17.125,59,77,90,67,89
59.0,63.45,21.0,22,0.09,0.2,0.09,29640.0,4410.0,93.0,35,66,22260.0,360.0,59.0,17.125,68,74,86,75,100
59.0,63.45,21.0,22,0.09,0.2,0.09,29640.0,4410.0,93.0,35,66,22260.0,360.0,59.0,17.125,68,74,86,75,100
57.0,62.2,25.0,71,-0.1,0.1,-0.1,33540.0,2670.0,81.0,44,37,20460.0,1200.0,50.0,16.5,44,66,74,86,81
57.0,62.2,25.0,71,-0.1,0.1,-0.1,33540.0,2670.0,81.0,44,37,20460.0,1200.0,50.0,16.5,44,66,74,86,81
55.0,61.48,26.0,93,-0.14,0.01,-0.14,20160.0,690.0,80.0,86,25,11550.0,510.0,43.0,16.5,73,77,72,83,85
55.0,61.48,26.0,93,-0.14,0.01,-0.14,20160.0,690.0,80.0,86,25,11550.0,510.0,43.0,16.5,73,77,72,83,85
57.0,60.79,27.0,70,-0.05,0.01,-0.05,31980.0,3450.0,86.0,52,48,20100.0,810.0,48.0,16.875,50,71,86,97,83
58.0,63.13,25.0,59,0.12,0.09,0.12,36360.0,5490.0,91.0,27,78,24210.0,210.0,50.0,16.875,60,77,96,70,100
59.0,64.15,19.0,47,-0.04,0.09,-0.04,29340.0,4620.0,91.0,34,65,19380.0,240.0,50.0,17.625,67,69,96,70,80
59.0,64.08,21.0,34,-0.12,0.04,-0.12,31440.0,4890.0,90.0,51,69,21450.0,600.0,50.0,17.375,53,72,95,86,86
56.0,62.98,23.0,31,0.05,0.06,0.05,32100.0,4380.0,80.0,39,61,19320.0,2010.0,46.0,16.75,50,59,72,48,75
58.0,63.75,20.0,65,-0.14,0.05,-0.14,31620.0,2700.0,82.0,54,37,19470.0,360.0,49.0,17.0,49,65,76,75,76
58.0,63.75,20.0,65,-0.14,0.05,-0.14,31620.0,2700.0,82.0,54,37,19470.0,360.0,49.0,17.0,49,65,76,75,76
60.0,65.01,23.0,77,0.16,0.13,0.16,27720.0,4350.0,91.0,44,61,16650.0,420.0,46.0,17.25,52,69,96,78,74
60.0,65.01,23.0,77,0.16,0.13,0.16,27720.0,4350.0,91.0,44,61,16650.0,420.0,46.0,17.25,52,69,96,78,74
61.0,65.42,20.0,36,-0.23,0.05,-0.23,31440.0,5250.0,92.0,33,74,21450.0,660.0,51.0,16.375,50,71,97,89,88
58.0,63.64,25.0,67,0.1,0.09,0.1,33240.0,4230.0,79.0,16,60,18240.0,1170.0,43.0,16.75,58,66,69,86,78
56.0,61.61,26.0,38,0.05,0.12,0.05,31680.0,3570.0,91.0,33,50,22890.0,120.0,57.0,16.875,44,65,96,64,87
